,DATABASE_NAME,SCHEMA,NAME,TYPE,SELF_REFERENCING_COL_NAME,DATABASE
0,V8_NEWYORK_NY_LIVE,COMMON,ACCOUNT_AUTO_GEN_SEQUENCE,TABLE,,production
1,V8_NEWYORK_NY_LIVE,COMMON,AKA_NAME,TABLE,,production
2,V8_NEWYORK_NY_LIVE,COMMON,AKA_NAME_OWNERS,TABLE,,production
3,V8_NEWYORK_NY_LIVE,COMMON,AOM_TO_OWNER_MAP,TABLE,,production
4,V8_NEWYORK_NY_LIVE,COMMON,APPLICATIONCONFIG,TABLE,,production
5,V8_NEWYORK_NY_LIVE,COMMON,APPLICATIONSETTINGS,TABLE,,production
6,V8_NEWYORK_NY_LIVE,COMMON,ASSESSMENT_RATIO,TABLE,,production
7,V8_NEWYORK_NY_LIVE,COMMON,CALENDAR,TABLE,,production
8,V8_NEWYORK_NY_LIVE,COMMON,CARD_TEMPLATE,TABLE,,production
9,V8_NEWYORK_NY_LIVE,COMMON,DESCRIPT,TABLE,,production
10,V8_NEWYORK_NY_LIVE,COMMON,DOCUMENT_TEXT,TABLE,,production
11,V8_NEWYORK_NY_LIVE,COMMON,DOCUMENTS,TABLE,,production
12,V8_NEWYORK_NY_LIVE,COMMON,ERROR_LOG,TABLE,,production
13,V8_NEWYORK_NY_LIVE,COMMON,EVENT_LOG,TABLE,,production
14,V8_NEWYORK_NY_LIVE,COMMON,EXEMPTDESC,TABLE,,production
15,V8_NEWYORK_NY_LIVE,COMMON,EXEMPTION_DEFINITION,TABLE,,production
16,V8_NEWYORK_NY_LIVE,COMMON,EXEMPTION_SCHEDULE,TABLE,,production
17,V8_NEWYORK_NY_LIVE,COMMON,EXEMPTION_SCHEDULE_VALUES,TABLE,,production
18,V8_NEWYORK_NY_LIVE,COMMON,EXEMPTION_TAX_AUTHORITY,TABLE,,production
19,V8_NEWYORK_NY_LIVE,COMMON,EXPORT_DETAIL,TABLE,,production
20,V8_NEWYORK_NY_LIVE,COMMON,EXPORT_GROUP,TABLE,,production
21,V8_NEWYORK_NY_LIVE,COMMON,EXPORT_SQL,TABLE,,production
22,V8_NEWYORK_NY_LIVE,COMMON,EXPORT_STORED_PROCEDURE,TABLE,,production
23,V8_NEWYORK_NY_LIVE,COMMON,EXPORT_UI,TABLE,,production
24,V8_NEWYORK_NY_LIVE,COMMON,EXPORTS,TABLE,,production
25,V8_NEWYORK_NY_LIVE,COMMON,EXPRESSION,TABLE,,production
26,V8_NEWYORK_NY_LIVE,COMMON,EXPRESSION_GROUP_MAP,TABLE,,production
27,V8_NEWYORK_NY_LIVE,COMMON,FLDDESC,TABLE,,production
28,V8_NEWYORK_NY_LIVE,COMMON,FLDDESC_CONSTR,TABLE,,production
29,V8_NEWYORK_NY_LIVE,COMMON,FLDDESC_CONSTR_ORIG,TABLE,,production
30,V8_NEWYORK_NY_LIVE,COMMON,FORMULA,TABLE,,production
31,V8_NEWYORK_NY_LIVE,COMMON,FORMULA_EXPRESSION_MAP,TABLE,,production
32,V8_NEWYORK_NY_LIVE,COMMON,FORMULA_GROUP,TABLE,,production
33,V8_NEWYORK_NY_LIVE,COMMON,G0GCT,TABLE,,production
34,V8_NEWYORK_NY_LIVE,COMMON,G0LOCATION,TABLE,,production
35,V8_NEWYORK_NY_LIVE,COMMON,G0LOCATION_ORIG,TABLE,,production
36,V8_NEWYORK_NY_LIVE,COMMON,G0SETTINGS,TABLE,,production
37,V8_NEWYORK_NY_LIVE,COMMON,G0USER,TABLE,,production
